x,y
245.11868716301856,327.2089312564705
240.26690824079247,324.24716334804606
251.14822710647246,330.69978996552237
255.022617280656,332.9430275771912
257.69246942064,334.43122131964867
257.7047805167586,334.5415752859825
256.6007610251073,333.6671024807884
248.15050474120414,329.0601019545006
244.63593131588652,326.8212915964745
237.0168043170326,322.3244887765587
259.53684196076887,335.47464469589
248.56555255524515,328.9298934296896
246.43326759927322,327.9700955613349
260.22960575983427,335.87612997658186
242.15960671943628,325.61580072414444
257.19709418963896,334.23017558129516
252.6378967429631,331.36225650264686
241.05404899586716,324.73824413087027
249.3174870900092,329.666072136362
258.38375742138464,334.9381768629449
256.82893378295114,334.0838490043239
262.89011506259965,337.582350853838
252.9332116836108,331.6831533744978
279.1868094661653,346.89288816630284
241.9642448888232,325.51052002839197
246.56285569632786,327.9805407666021
249.4539152313401,329.72856481506346
237.72960465127423,322.8779390011219
259.0557896442059,335.16474458036765
257.82240164435177,334.5218527272893
250.19892486636834,330.03545864580417
245.37836354782203,327.3165800758145
237.10420142171188,322.43510092548286
243.17432209135066,326.03725435992277
256.4183091335894,333.7573881573643
248.19206636775743,328.8882044735241
246.3027432151612,327.86646071917517
254.33570280817696,332.51930908021455
260.007563893041,335.8301239359017
252.23337640416804,331.27401599668104
252.66946825925976,331.6666032630331
261.98572052451283,336.6773657572182
251.37344848047084,331.13218332934287
247.3650393049962,328.37811487080205
255.80926835220663,333.40056211465566
247.82444081961438,328.63557538144977
246.78232237938076,328.21666663863465
261.017028269322,336.39261969190284
247.5041513804902,328.48388320047917
226.95184654563022,316.8170518523431
253.00047121269046,331.7133902907476
246.54736625626504,328.06980803246984
247.54185936152635,328.47488734858734
253.9240880325268,332.26200668496074
248.46169998456548,329.3431956169953
251.81327659476193,331.1580894115919
232.47085789622608,319.91506607291655
241.85533450793523,325.2458382735639
262.1552644086473,337.0256392379751
249.82946702081418,329.9243556940831
235.48456341831195,321.6713812137232
240.76543487552084,324.5440992926884
241.37053113386787,325.09495493041084
250.9408365859795,330.41737688245723
246.171937438711,327.9782132397445
244.32989521976978,326.6372635148684
250.01926664061645,330.0453752881892
254.08721474005202,332.475818397456
247.76936513565587,328.6830000234007
245.0058422632247,327.15595078884
246.2779592578978,328.0167992663647
252.9147157278469,331.74798355348196
249.9183084951589,329.9938908380401
256.7292248153734,333.6905774983481
240.089190300708,324.170174393433
243.23304635131734,326.2139854128431
256.66709870377025,333.91506342377824
243.0198938682855,326.0533415953587
261.95415787171606,336.97510558314184
262.1049470978132,337.1377227212179
262.0709647249207,336.93899086990365
242.3674017974975,325.6072315098978
250.71736350562583,330.2953889324518
245.7906504827669,327.4221575865967
258.07700974225975,334.47346092001635
264.82389061604914,338.4563673607286
257.4878781733999,334.50240287549286
250.15682871051027,329.91125162011343
246.84951362789403,328.1460165283901
255.68591326334476,333.1334439930393
239.4396532143848,323.83358644472605
254.6363216004606,332.69637607541443
242.11354996282512,325.3659135305148
255.31962194970893,333.1971088252802
248.5295425261391,329.32815951783516
246.74998645741434,327.86390060151297
242.3653875055051,325.51328925998837
246.90754034399646,328.2213967291912
254.7598501999863,332.87813358788617
259.06281028441265,335.17996434641265
254.56017158467682,332.6305143508017
261.8694409914974,336.71925563362794
272.0664339589285,342.5630695666592
247.1175566377392,328.50271919679756
248.30834542571054,328.81269732961556
237.41244428761203,323.0014570832838
260.27574295776043,336.0164362339137
261.21910785372035,336.55587146705113
242.4615205672959,325.7141062682654
255.36156091067554,333.06632100505755
260.52053805740445,336.11930950121575
251.96915873403367,331.1150824144632
257.31105801432494,334.28490471363835
251.51578262439307,330.87124772115055
239.5092449141303,323.83342297130315
259.1311436222614,335.1713431614521
